Altium Designer Pick and Place Locations
D:\NIT Calicut\My NITC M.Tech Project\Altium_Designer\Altium_Designer\Fly_Buck_Power_Supply_for_Inverter\Project Outputs for Fly_Buck_Power_Supply_for_Inverter\Pick Place\Pick Place for Fly_Buck_Power_Supply_for_Inverter.csv

========================================================================================================================
File Design Information:

Date:       10/04/24
Time:       21:39
Revision:   3f3e6d0ba911a8b375e80400ed5d9b6dfaaee522
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"ZD4","MMSZ5245B-E3-08","TopLayer","VISH-SOD-123-2_V","639.826","464.916","90","MMSZ5245 Series 15V ±5% 500 mW SMT Small Signal Zener Diode - SOD-123"
"ZD3","MMSZ5245B-E3-08","TopLayer","VISH-SOD-123-2_V","2019.748","611.567","90","MMSZ5245 Series 15V ±5% 500 mW SMT Small Signal Zener Diode - SOD-123"
"ZD2","MMSZ5245B-E3-08","TopLayer","VISH-SOD-123-2_V","2019.748","1262.158","90","MMSZ5245 Series 15V ±5% 500 mW SMT Small Signal Zener Diode - SOD-123"
"ZD1","MMSZ5245B-E3-08","TopLayer","VISH-SOD-123-2_V","2019.748","1917.668","90","MMSZ5245 Series 15V ±5% 500 mW SMT Small Signal Zener Diode - SOD-123"
"T1","750315038","TopLayer","PCBComponent_1","1206.598","1156.488","0",""
"SD1","RB500V-40-TP","TopLayer","FP-SOD-323-MFG","345.458","1316.016","180","Rectifier Diode Schottky 45V 0.1A"
"SBR4","DFLS1200-7","TopLayer","FP-PowerDI123-MFG","502.032","478.202","270","Rectifier Diode, Schottky, 200V, 1A"
"SBR3","DFLS1200-7","TopLayer","FP-PowerDI123-MFG","1881.952","623.872","270","Rectifier Diode, Schottky, 200V, 1A"
"SBR2","DFLS1200-7","TopLayer","FP-PowerDI123-MFG","1881.952","1274.460","270","Rectifier Diode, Schottky, 200V, 1A"
"SBR1","DFLS1200-7","TopLayer","FP-PowerDI123-MFG","1881.952","1929.972","270","Rectifier Diode, Schottky, 200V, 1A"
"Rr","ERA3AEB2052V","TopLayer","RESC1608X55X30ML20T20","506.875","1316.016","180","Res Thin Film 0603 20.5K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD Automotive T/R"
"Rfbt","ERJ-3EKF8662V","TopLayer","RESC1608X55X30NL15T15","269.669","1394.756","180",""
"Rfbb","ERA3AEB2052V","TopLayer","RESC1608X55X30ML20T20","156.002","1565.001","90","Res Thin Film 0603 20.5K Ohm 0.1% 0.1W(1/10W) ±25ppm/C Pad SMD Automotive T/R"
"R7","ERJ-6ENF5110V","TopLayer","RESC2013X70X40ML20T20","639.826","243.458","270","SMD Chip Resistor, 511 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision"
"R6","ERJ-6ENF5110V","TopLayer","RESC2013X70X40ML20T20","2019.748","392.082","270","SMD Chip Resistor, 511 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision"
"R5","ERJ-6ENF5110V","TopLayer","RESC2013X70X40ML20T20","2019.748","1040.700","270","SMD Chip Resistor, 511 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision"
"R4","ERJ-6ENF5110V","TopLayer","RESC2013X70X40ML20T20","2019.748","1696.212","270","SMD Chip Resistor, 511 Ohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision"
"R3","RC0603FR-07453RL","TopLayer","RESC1608X55X25NL10T15","270.654","1855.384","270","SMD Chip Resistor, 453 Ohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpos"
"R2","CRCW06038K45FKEA","TopLayer","RESC1609X50X30LL10T20","400.572","1882.946","0","SMD Chip Resistor, 8.45K Ohm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R1","RK73H1JTTD1003F","TopLayer","RESC1608X55X30ML20T10","357.268","1991.212","270","Res Thick Film 0603 100K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"JWT","691214110003","TopLayer","691214110003","2622.110","494.442","270","Conn Terminal Block 3 POS 3.5mm Solder ST Thru-Hole 10A Box"
